search_term,tipo_gasto,grupo,categoria,subcategoria
PICPAY  RECARGACEL,Essencial,Custo de vida,Moradia,Recarga Celular
PICPAY  VR2 RICARDOSH,Need to check,Need to check,Need to check,Need to check
PINBANK ESFIHA BRASIL,Variável,Custo de vida,Alimentação,Restaurante
PIRACICABANA BAURU,Need to check,Need to check,Need to check,Need to check
PIRACICABANA SAO PAULO,Need to check,Need to check,Need to check,Need to check
PITIKAS BURGUER,Variável,Custo de vida,Alimentação,Restaurante
PIT STOP LANCHONETE,Variável,Custo de vida,Alimentação,Restaurante
PIZZA DE NAPOLI,Variável,Custo de vida,Alimentação,Restaurante
PIZZARIA EXAGERADA DUQ,Variável,Custo de vida,Alimentação,Restaurante
PLAY PARK EVENTOS LTD,Need to check,Need to check,Need to check,Need to check
POINTACARAJE,Need to check,Need to check,Need to check,Need to check
PONTO DA CULTURA,Need to check,Need to check,Need to check,Need to check
PONTO DA PIZZA,Variável,Custo de vida,Alimentação,Restaurante
PONTO DA PIZZA O RODIZ,Variável,Custo de vida,Alimentação,Restaurante
POPCORN GOURMET,Variável,Custo de vida,Alimentação,Restaurante
PORCARIABBQ,Variável,Custo de vida,Alimentação,Restaurante
PORTEIRA BAURU,Variável,Custo de vida,Alimentação,Restaurante
PORTO SEGURO SEGUROS,Variável,Custo de vida,Seguro,Seguro
POSTO-2243-BAURU,Need to check,Need to check,Need to check,Need to check
POSTO AEROPORTO - LK 2,Variável,Custo de vida,Transporte,Combustível
POSTO ARAUJO LEITE,Variável,Custo de vida,Transporte,Combustível
POSTO PA 2243 POSTO,Variável,Custo de vida,Transporte,Combustível
POSTOPADILHAO,Variável,Custo de vida,Transporte,Combustível
POSTO TIGRAO,Essencial,Custo de vida,Transporte,Combustível
POUSADATIBIRICA,Variável,Custo de vida,Alimentação,Restaurante
PP     *GROWTHSUPPL,Variável,Custo de vida,Alimentação,Online
PP           INGRESSOS,Variável,Lazer,Show,Ingresso
PP     *MENINASHOES,Variável,Custo de vida,Vestuário,Calçado
PP      MTUPPERWARE,Variável,Custo de vida,Moradia,Utensílios
PPRO   *MICROSOFT,Need to check,Need to check,Need to check,Need to check
PRADAO AUTO CENTER,Essencial,Custo de vida,Transporte,Manutenção
