search_term,tipo_gasto,grupo,categoria,subcategoria
Financiamento,Essencial,Custo de vida,Patrimônio,Apartamento - Financiamento
Compra box e espelho apartamento Bela America,Variável,Custo de vida,Moradia,Manutenção
JiuJitsu,Essencial,Estilo de vida,Saúde & Bem-estar,Jiu Jitsu
Tattoo,Variável,Estilo de vida,Saúde & Bem-estar,Tattoo
IPVA,Essencial,Custo de vida,Transporte,Impostos
Ajuda de Custo - Paula,Variável,Custo de vida,Ajuda de Custo,Paula
Fatura cartão Santander,N/A,N/A,N/A,N/A
Taxa Bombeiro Apartamento,Essencial,Custo de vida,Moradia,Impostos
Atribuição de unidade apartamento Bela America,Essencial,Custo de vida,Moradia,Taxa
Limpeza - Casa,Variável,Custo de vida,Moradia,Limpeza - Casa
Festa de aniversário Luísa,Variável,Lazer,Presente & Festa,Aniversário Lu
Limpeza - Carro,Variável,Custo de vida,Transporte,Limpeza - Casa
Licenciamento,Essencial,Custo de vida,Transporte,Impostos
Viagem Lins,Variável,Lazer,Viagem,Estadia
Sem parar,Variável,Lazer,Viagem,Pedágio
Sanduicheira,Variável,Custo de vida,Moradia,Utensílios
Gás,Essencial,Custo de vida,Moradia,Gás
Presente Bel,Variável,Lazer,Presente & Festa,Bel
Corretagem1-2,Essencial,Custo de vida,Moradia,Taxa
Corretagem2-2,Essencial,Custo de vida,Moradia,Taxa
Entrada Casa,Essencial,Custo de vida,Patrimônio,Entrada
Compra móveis para casa - aparador,Variável,Estilo de vida,Moradia,Móveis
Multa de transito,Variável,Custo de vida,Transporte,Multa
Documento - cartório,Essencial,Custo de vida,Moradia,Taxa
Documento - DPVAT Focus,Essencial,Custo de vida,Transporte,Impostos
Docuemento DPVAT KA,Essencial,Custo de vida,Transporte,Impostos
Ovodepáscoa,Variável,Lazer,Presente & Festa,Ovo de páscoa
Pagamento imposto de renda,Essencial,Custo de vida,Moradia,IR
Seguro - Residencial,Essencial,Custo de vida,Moradia,Seguro - Residencial
Presente Vó Anna,Variável,Lazer,Presente & Festa,Vó Anna
Confraternização trabalho,VAriável,Lazer,Presente & Festa,Confraternização
Presente Luísa,Variável,Lazer,Presente & Festa,Luísa
Viagem Praia,Variável,Lazer,Viagem,Estadia
Docuemento DPVAT CLASSIC,Essencial,Custo de vida,Transporte,Impostos
Instalação AR Condicionado,Variável,Custo de vida,Moradia,AR Condicionado
Fatura cartão de crédito Banco Inter,N/A,N/A,N/A,N/A
Jogo de cama Lucas,Variável,Custo de vida,Moradia,"Cama, Mesa e Banho"
Spotify(Ribas),Variável,Lazer,Saúde & Bem-estar,Streaming
Amortização Financiamento Casa,Essencial,Custo de vida,Patrimônio,Casa - Amortização
Taxa Semestral Tesouro Direto,Variável,Investimento,Taxa,Tesouro Direto
Fatura - Cartão de crédito C6,N/A,N/A,N/A,N/A
Pedágio,Variável,Lazer,Viagem,Pedágio
DAE,Essencial,Custo de vida,Moradia,Água (DAE)
Aporte investimento - Lucas,Variável,Custo de vida,Investimento,Aporte
Aporte investimento - Luísa,Variável,Custo de vida,Investimento,Aporte
Claro TV,Variável,Custo de vida,Moradia,Tv
Multa Claro,Variável,Custo de vida,Moradia,Multa
Presente - bicicleta Luísa,Variável,Lazer,Presente & Festa,Luísa
Graduação(Anhembi),Variável,Conhecimento,Estudo,Graduação
Escola - Lucas,Essencial,Conhecimento,Estudo,Escola
Cursro Trybe,Variável,Conhecimento,Estudo,Trybe
Suplemento,Variável,Estilo de vida,Saúde & Bem-estar,Suplemento
Mercadopago,N/A,N/A,N/A,N/A
Recolhimento INSS,Essencial,Investimento,Aposentadoria,Tesouro Direto
DAS - Ricardo,Variável,Custo de vida,Impostos,DAS
Perua - Luísa,Variável,Custo de vida,Transporte,Perua
Contabilidade - Ricardo,Variável,Custo de vida,Mensalidade,Contabilidade
DARF - Ricardo,Variável,Custo de vida,Impostos,DARF
Terapia - Luísa,Essencial,Custo de vida,Saúde & Bem-estar,Terapia
Escola - Luísa,Essencial,Conhecimento,Estudo,Escola
Comida pronta - Clean Foods,Essencial,Custo de vida,Alimento - externo,Marmita
Documentos CNH,Essencial,Custo de vida,Transporte,Impostos
Manutenção - Casa,Variável,Custo de vida,Moradia,Manutenção
Consulta Médica Psiquiatra,Essencial,Custo de vida,Saúde & Bem-estar,Consulta
Compra air friyer,Variável,Estilo de vida,Moradia,Utensílios
Festa,Variável,Lazer,Presente & Festa,Bolo
Consutla médica Infectologista,Essencial,Custo de vida,Saúde & Bem-estar,Consulta
Documentos Visto Americano,Variável,Lazer,Viagem,Visto americano
Consulta Médica,Essencial,Custo de vida,Saúde & Bem-estar,Consulta
Presente,Variável,Lazer,Presente & Festa,Giovanna
Mesada Luísa,Variável,Custo de vida,Moradia,Mesada
Contabilidade - Paula,Variável,Custo de vida,Mensalidade,Contabilidade
DARF - Paula,Variável,Custo de vida,Impostos,DARF
Dentista - Resina Lu (retirada aparelho),Essencial,Custo de vida,Saúde & Bem-estar,Dentista
Plano de saúde,Essencial,Custo de vida,Saúde & Bem-estar,Plano de Saúde
Compra colchão Luísa,Variável,Estilo de vida,Moradia,Móveis
Procedimento estético,Variável,Estilo de vida,Saúde & Bem-estar,Procedimento
DAS - Paula,Variável,Custo de vida,Impostos,DAS
Lazer - Entretenimento,Variável,Lazer,Extra,Stray Kids
Vestuário - Pix,Essencial,Custo de vida,Vestuário,Lucas
Estacionamento,Variável,Custo de vida,Transporte,Estacionamento
Aula QA Paula,Essencial,Conhecimento,Estudo,Aula particular
Kumon,Essencial,Conhecimento,Estudo,Kumon
Entrada compra Nissan Kicks,Variável,Custo de vida,Patrimônio,Veículo
Crédito celular,Essencial,Custo de vida,Moradia,Celular
Mensalidade faculdade,Essencial,Conhecimento,Estudo,Engenharia de software
Festa Aniversário Lucas,Variável,Lazer,Presente & Festa,Festa - Lucas
Video Game,Variável,Lazer,Extra,Video game
Pedra para conserto da calçada,Variável,Custo de vida,Moradia,Manutenção
Conserto caixa de gordura casa,Variável,Custo de vida,Moradia,Manutenção
Lazer / Viagem,Variável,Lazer,Viagem,Estadia
Parcela Nissan Kicks,Variável,Custo de vida,Patrimônio,Veículo
Previdência Pessoal - Ricardo,Variável,Custo de vida,Investimento,Previdencia
Sobra do Cartão - Ricardo,Variável,Custo de vida,Investimento,Previdencia
Combustível,Essencial,Custo de vida,Transporte,Combustível
Tayaya,Variável,Lazer,Viagem,Estadia
Roupa,Variável,Custo de vida,Vestuário,Luísa
Comida,Variável,Lazer,Alimento - externo,Cookies
Manutenção preventiva e limpeza,Variável,Custo de vida,Moradia,Manutenção
Taxa vestibulinho CTI Luísa,Variável,Conhecimento,Taxa,CTI
Compra casa - cadeiras,Variável,Estilo de vida,Moradia,Móveis
Seguro - Vida,Essencial,Custo de vida,Investimento,Seguro - Vida
Jogo Megasena,Variável,Lazer,Extra,Megasena
Recarga Celular,Essencial,Custo de vida,Moradia,Celular
Pagar DARF de venda investimento,Variável,Custo de vida,Impostos,Impostos
Manutenção corretiva,Variável,Custo de vida,Moradia,Manutenção
Bonus para gasto pessoal Ricardo,Variável,Custo de vida,Ajuda de custo,Ricardo
Bonus para gasto pessoal Ana Paula,Variável,Custo de vida,Ajuda de custo,Paula
Refeição - Primeira Mesa,Variável,Custo de vida,Alimento - externo,Primeira Mesa
Manutenção,Variável,Custo de vida,Moradia,Manutenção
ENEM Luísa,Variável,Conhecimento,Taxa,ENEM
Ajuda Vó Anna (Ricardo),Variável,Custo de vida,Ajuda de Custo,Anna
Bolo aniversário Paula,Variável,Lazer,Saúde & Bem-estar,Festa
